expression,model,ECS,correctness,hallucination_rate,robustness_score,hallucination_types,perturbation_types,perturbation_halluc_map,avg_response_time,num_outputs
(x**4 - 16)/(x**2 - 4),qwen/qwen-2.5-72b-instruct,0.875,0.875,0.125,0.875,"['none', 'none', 'none', 'none', 'none', 'none', 'Extrinsic_Variable_Invention', 'none']","['original', 'expanded', 'factored', 'simplified', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'none', 'expanded': 'none', 'factored': 'none', 'simplified': 'none', 'adv_variable_remap': 'none', 'adv_log_exp_wrap': 'none', 'adv_identity_mul': 'Extrinsic_Variable_Invention', 'adv_zero_trick': 'none'}",1.99375,8
(x**3 - x)/(x),meta-llama/llama-3-8b-instruct,0.75,0.75,0.25,0.75,"['none', 'none', 'none', 'none', 'none', 'none', 'Extrinsic_Variable_Invention', 'General_Logic_Hallucination']","['original', 'expanded', 'factored', 'simplified', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'none', 'expanded': 'none', 'factored': 'none', 'simplified': 'none', 'adv_variable_remap': 'none', 'adv_log_exp_wrap': 'none', 'adv_identity_mul': 'Extrinsic_Variable_Invention', 'adv_zero_trick': 'General_Logic_Hallucination'}",1.8449999999999998,8
(x**3 - x)/(x),google/gemma-2-9b-it,0.5,0.5,0.5,0.5,"['none', 'none', 'none', 'none', 'General_Logic_Hallucination', 'General_Logic_Hallucination', 'Extrinsic_Variable_Invention', 'General_Logic_Hallucination']","['original', 'expanded', 'factored', 'simplified', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'none', 'expanded': 'none', 'factored': 'none', 'simplified': 'none', 'adv_variable_remap': 'General_Logic_Hallucination', 'adv_log_exp_wrap': 'General_Logic_Hallucination', 'adv_identity_mul': 'Extrinsic_Variable_Invention', 'adv_zero_trick': 'General_Logic_Hallucination'}",1.69375,8
(x**3 - x)/(x),deepseek/deepseek-chat,0.875,0.875,0.125,0.875,"['none', 'none', 'none', 'none', 'none', 'none', 'Extrinsic_Variable_Invention', 'none']","['original', 'expanded', 'factored', 'simplified', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'none', 'expanded': 'none', 'factored': 'none', 'simplified': 'none', 'adv_variable_remap': 'none', 'adv_log_exp_wrap': 'none', 'adv_identity_mul': 'Extrinsic_Variable_Invention', 'adv_zero_trick': 'none'}",2.6975000000000002,8
(x**3 - x)/(x),qwen/qwen-2.5-72b-instruct,0.875,0.875,0.125,0.875,"['none', 'none', 'none', 'none', 'none', 'none', 'Extrinsic_Variable_Invention', 'none']","['original', 'expanded', 'factored', 'simplified', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'none', 'expanded': 'none', 'factored': 'none', 'simplified': 'none', 'adv_variable_remap': 'none', 'adv_log_exp_wrap': 'none', 'adv_identity_mul': 'Extrinsic_Variable_Invention', 'adv_zero_trick': 'none'}",1.67875,8
(x**4 - 1)/(x**2 - 1),meta-llama/llama-3-8b-instruct,0.5,0.5,0.5,0.5,"['General_Logic_Hallucination', 'General_Logic_Hallucination', 'none', 'none', 'none', 'none', 'Extrinsic_Variable_Invention', 'General_Logic_Hallucination']","['original', 'expanded', 'factored', 'simplified', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'General_Logic_Hallucination', 'expanded': 'General_Logic_Hallucination', 'factored': 'none', 'simplified': 'none', 'adv_variable_remap': 'none', 'adv_log_exp_wrap': 'none', 'adv_identity_mul': 'Extrinsic_Variable_Invention', 'adv_zero_trick': 'General_Logic_Hallucination'}",1.79125,8
(x**4 - 1)/(x**2 - 1),google/gemma-2-9b-it,0.375,0.5,0.5,0.45,"['none', 'General_Logic_Hallucination', 'none', 'none', 'General_Logic_Hallucination', 'General_Logic_Hallucination', 'Extrinsic_Variable_Invention', 'none']","['original', 'expanded', 'factored', 'simplified', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'none', 'expanded': 'General_Logic_Hallucination', 'factored': 'none', 'simplified': 'none', 'adv_variable_remap': 'General_Logic_Hallucination', 'adv_log_exp_wrap': 'General_Logic_Hallucination', 'adv_identity_mul': 'Extrinsic_Variable_Invention', 'adv_zero_trick': 'none'}",1.4575,8
(x**4 - 1)/(x**2 - 1),deepseek/deepseek-chat,0.625,0.875,0.125,0.775,"['none', 'none', 'none', 'none', 'none', 'none', 'Extrinsic_Variable_Invention', 'none']","['original', 'expanded', 'factored', 'simplified', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'none', 'expanded': 'none', 'factored': 'none', 'simplified': 'none', 'adv_variable_remap': 'none', 'adv_log_exp_wrap': 'none', 'adv_identity_mul': 'Extrinsic_Variable_Invention', 'adv_zero_trick': 'none'}",2.5525,8
(x**4 - 1)/(x**2 - 1),qwen/qwen-2.5-72b-instruct,0.875,0.875,0.125,0.875,"['none', 'none', 'none', 'none', 'none', 'none', 'Extrinsic_Variable_Invention', 'none']","['original', 'expanded', 'factored', 'simplified', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'none', 'expanded': 'none', 'factored': 'none', 'simplified': 'none', 'adv_variable_remap': 'none', 'adv_log_exp_wrap': 'none', 'adv_identity_mul': 'Extrinsic_Variable_Invention', 'adv_zero_trick': 'none'}",1.9250000000000003,8
(x**2 - 4)/(x - 2) + (x - 2),meta-llama/llama-3-8b-instruct,0.25,0.125,0.875,0.175,"['General_Logic_Hallucination', 'General_Logic_Hallucination', 'General_Logic_Hallucination', 'none', 'General_Logic_Hallucination', 'General_Logic_Hallucination', 'Extrinsic_Variable_Invention', 'General_Logic_Hallucination']","['original', 'expanded', 'factored', 'simplified', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'General_Logic_Hallucination', 'expanded': 'General_Logic_Hallucination', 'factored': 'General_Logic_Hallucination', 'simplified': 'none', 'adv_variable_remap': 'General_Logic_Hallucination', 'adv_log_exp_wrap': 'General_Logic_Hallucination', 'adv_identity_mul': 'Extrinsic_Variable_Invention', 'adv_zero_trick': 'General_Logic_Hallucination'}",2.04125,8
(x**2 - 4)/(x - 2) + (x - 2),google/gemma-2-9b-it,0.14285714285714285,0.14285714285714285,0.875,0.1393,"['General_Logic_Hallucination', 'General_Logic_Hallucination', 'General_Logic_Hallucination', 'none', 'General_Logic_Hallucination', 'General_Logic_Hallucination', 'Invalid_Syntax_Failure', 'General_Logic_Hallucination']","['original', 'expanded', 'factored', 'simplified', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'General_Logic_Hallucination', 'expanded': 'General_Logic_Hallucination', 'factored': 'General_Logic_Hallucination', 'simplified': 'none', 'adv_variable_remap': 'General_Logic_Hallucination', 'adv_log_exp_wrap': 'General_Logic_Hallucination', 'adv_identity_mul': 'Invalid_Syntax_Failure', 'adv_zero_trick': 'General_Logic_Hallucination'}",1.8914285714285715,7
(x**2 - 4)/(x - 2) + (x - 2),deepseek/deepseek-chat,0.375,0.5,0.5,0.45,"['General_Logic_Hallucination', 'General_Logic_Hallucination', 'General_Logic_Hallucination', 'none', 'none', 'none', 'Extrinsic_Variable_Invention', 'none']","['original', 'expanded', 'factored', 'simplified', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'General_Logic_Hallucination', 'expanded': 'General_Logic_Hallucination', 'factored': 'General_Logic_Hallucination', 'simplified': 'none', 'adv_variable_remap': 'none', 'adv_log_exp_wrap': 'none', 'adv_identity_mul': 'Extrinsic_Variable_Invention', 'adv_zero_trick': 'none'}",3.9837499999999997,8
(x**2 - 4)/(x - 2) + (x - 2),qwen/qwen-2.5-72b-instruct,0.5,0.125,0.875,0.275,"['General_Logic_Hallucination', 'General_Logic_Hallucination', 'General_Logic_Hallucination', 'none', 'General_Logic_Hallucination', 'General_Logic_Hallucination', 'Extrinsic_Variable_Invention', 'General_Logic_Hallucination']","['original', 'expanded', 'factored', 'simplified', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'General_Logic_Hallucination', 'expanded': 'General_Logic_Hallucination', 'factored': 'General_Logic_Hallucination', 'simplified': 'none', 'adv_variable_remap': 'General_Logic_Hallucination', 'adv_log_exp_wrap': 'General_Logic_Hallucination', 'adv_identity_mul': 'Extrinsic_Variable_Invention', 'adv_zero_trick': 'General_Logic_Hallucination'}",1.4225,8
(x**2 - 9)/(x - 3) - 1,meta-llama/llama-3-8b-instruct,0.375,0.125,0.875,0.225,"['General_Logic_Hallucination', 'none', 'General_Logic_Hallucination', 'General_Logic_Hallucination', 'General_Logic_Hallucination', 'Extrinsic_Variable_Invention', 'General_Logic_Hallucination', 'General_Logic_Hallucination']","['original', 'expanded', 'factored', 'simplified', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'General_Logic_Hallucination', 'expanded': 'none', 'factored': 'General_Logic_Hallucination', 'simplified': 'General_Logic_Hallucination', 'adv_variable_remap': 'General_Logic_Hallucination', 'adv_log_exp_wrap': 'Extrinsic_Variable_Invention', 'adv_identity_mul': 'General_Logic_Hallucination', 'adv_zero_trick': 'General_Logic_Hallucination'}",1.3437499999999998,8
(x**2 - 9)/(x - 3) - 1,google/gemma-2-9b-it,0.42857142857142855,0.2857142857142857,0.75,0.3357,"['Invalid_Syntax_Failure', 'none', 'none', 'General_Logic_Hallucination', 'General_Logic_Hallucination', 'Extrinsic_Variable_Invention', 'General_Logic_Hallucination', 'General_Logic_Hallucination']","['original', 'expanded', 'factored', 'simplified', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'Invalid_Syntax_Failure', 'expanded': 'none', 'factored': 'none', 'simplified': 'General_Logic_Hallucination', 'adv_variable_remap': 'General_Logic_Hallucination', 'adv_log_exp_wrap': 'Extrinsic_Variable_Invention', 'adv_identity_mul': 'General_Logic_Hallucination', 'adv_zero_trick': 'General_Logic_Hallucination'}",1.3457142857142856,7
(x**2 - 9)/(x - 3) - 1,deepseek/deepseek-chat,0.5,0.75,0.25,0.65,"['none', 'none', 'none', 'General_Logic_Hallucination', 'none', 'Extrinsic_Variable_Invention', 'none', 'none']","['original', 'expanded', 'factored', 'simplified', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'none', 'expanded': 'none', 'factored': 'none', 'simplified': 'General_Logic_Hallucination', 'adv_variable_remap': 'none', 'adv_log_exp_wrap': 'Extrinsic_Variable_Invention', 'adv_identity_mul': 'none', 'adv_zero_trick': 'none'}",2.16875,8
(x**2 - 9)/(x - 3) - 1,qwen/qwen-2.5-72b-instruct,0.75,0.75,0.25,0.75,"['none', 'none', 'General_Logic_Hallucination', 'none', 'none', 'Extrinsic_Variable_Invention', 'none', 'none']","['original', 'expanded', 'factored', 'simplified', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'none', 'expanded': 'none', 'factored': 'General_Logic_Hallucination', 'simplified': 'none', 'adv_variable_remap': 'none', 'adv_log_exp_wrap': 'Extrinsic_Variable_Invention', 'adv_identity_mul': 'none', 'adv_zero_trick': 'none'}",1.42375,8
(x**2 - 1)/(x - 1) + (x - 1),meta-llama/llama-3-8b-instruct,0.375,0.125,0.875,0.225,"['none', 'General_Logic_Hallucination', 'General_Logic_Hallucination', 'General_Logic_Hallucination', 'General_Logic_Hallucination', 'General_Logic_Hallucination', 'General_Logic_Hallucination', 'Extrinsic_Variable_Invention']","['original', 'expanded', 'factored', 'simplified', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'none', 'expanded': 'General_Logic_Hallucination', 'factored': 'General_Logic_Hallucination', 'simplified': 'General_Logic_Hallucination', 'adv_variable_remap': 'General_Logic_Hallucination', 'adv_log_exp_wrap': 'General_Logic_Hallucination', 'adv_identity_mul': 'General_Logic_Hallucination', 'adv_zero_trick': 'Extrinsic_Variable_Invention'}",1.1862500000000002,8
(x**2 - 1)/(x - 1) + (x - 1),google/gemma-2-9b-it,0.5,0.25,0.75,0.35,"['none', 'General_Logic_Hallucination', 'General_Logic_Hallucination', 'none', 'General_Logic_Hallucination', 'General_Logic_Hallucination', 'General_Logic_Hallucination', 'Extrinsic_Variable_Invention']","['original', 'expanded', 'factored', 'simplified', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'none', 'expanded': 'General_Logic_Hallucination', 'factored': 'General_Logic_Hallucination', 'simplified': 'none', 'adv_variable_remap': 'General_Logic_Hallucination', 'adv_log_exp_wrap': 'General_Logic_Hallucination', 'adv_identity_mul': 'General_Logic_Hallucination', 'adv_zero_trick': 'Extrinsic_Variable_Invention'}",1.24375,8
(x**2 - 1)/(x - 1) + (x - 1),deepseek/deepseek-chat,0.25,0.25,0.75,0.25,"['none', 'General_Logic_Hallucination', 'General_Logic_Hallucination', 'General_Logic_Hallucination', 'none', 'General_Logic_Hallucination', 'General_Logic_Hallucination', 'Extrinsic_Variable_Invention']","['original', 'expanded', 'factored', 'simplified', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'none', 'expanded': 'General_Logic_Hallucination', 'factored': 'General_Logic_Hallucination', 'simplified': 'General_Logic_Hallucination', 'adv_variable_remap': 'none', 'adv_log_exp_wrap': 'General_Logic_Hallucination', 'adv_identity_mul': 'General_Logic_Hallucination', 'adv_zero_trick': 'Extrinsic_Variable_Invention'}",1.78375,8
(x**2 - 1)/(x - 1) + (x - 1),qwen/qwen-2.5-72b-instruct,0.25,0.125,0.875,0.175,"['none', 'General_Logic_Hallucination', 'General_Logic_Hallucination', 'General_Logic_Hallucination', 'General_Logic_Hallucination', 'General_Logic_Hallucination', 'General_Logic_Hallucination', 'Extrinsic_Variable_Invention']","['original', 'expanded', 'factored', 'simplified', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'none', 'expanded': 'General_Logic_Hallucination', 'factored': 'General_Logic_Hallucination', 'simplified': 'General_Logic_Hallucination', 'adv_variable_remap': 'General_Logic_Hallucination', 'adv_log_exp_wrap': 'General_Logic_Hallucination', 'adv_identity_mul': 'General_Logic_Hallucination', 'adv_zero_trick': 'Extrinsic_Variable_Invention'}",1.6724999999999999,8
(x**2 - 4)/(x - 2) + sin(x)**2 + cos(x)**2,meta-llama/llama-3-8b-instruct,0.2222222222222222,0.2222222222222222,0.7777777777777778,0.2222,"['General_Logic_Hallucination', 'none', 'Domain_Transformation_Hallucination', 'none', 'Domain_Transformation_Hallucination', 'Extrinsic_Variable_Invention', 'Domain_Transformation_Hallucination', 'General_Logic_Hallucination', 'Domain_Transformation_Hallucination']","['original', 'expanded', 'factored', 'simplified', 'reordered', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'General_Logic_Hallucination', 'expanded': 'none', 'factored': 'Domain_Transformation_Hallucination', 'simplified': 'none', 'reordered': 'Domain_Transformation_Hallucination', 'adv_variable_remap': 'Extrinsic_Variable_Invention', 'adv_log_exp_wrap': 'Domain_Transformation_Hallucination', 'adv_identity_mul': 'General_Logic_Hallucination', 'adv_zero_trick': 'Domain_Transformation_Hallucination'}",1.7633333333333334,9
(x**2 - 4)/(x - 2) + sin(x)**2 + cos(x)**2,google/gemma-2-9b-it,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.5333,"['none', 'none', 'none', 'General_Logic_Hallucination', 'none', 'Extrinsic_Variable_Invention', 'none', 'none', 'Extrinsic_Variable_Invention']","['original', 'expanded', 'factored', 'simplified', 'reordered', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'none', 'expanded': 'none', 'factored': 'none', 'simplified': 'General_Logic_Hallucination', 'reordered': 'none', 'adv_variable_remap': 'Extrinsic_Variable_Invention', 'adv_log_exp_wrap': 'none', 'adv_identity_mul': 'none', 'adv_zero_trick': 'Extrinsic_Variable_Invention'}",1.6166666666666667,9
(x**2 - 4)/(x - 2) + sin(x)**2 + cos(x)**2,deepseek/deepseek-chat,0.4444444444444444,0.8888888888888888,0.1111111111111111,0.7111,"['none', 'none', 'none', 'none', 'none', 'Extrinsic_Variable_Invention', 'none', 'none', 'none']","['original', 'expanded', 'factored', 'simplified', 'reordered', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'none', 'expanded': 'none', 'factored': 'none', 'simplified': 'none', 'reordered': 'none', 'adv_variable_remap': 'Extrinsic_Variable_Invention', 'adv_log_exp_wrap': 'none', 'adv_identity_mul': 'none', 'adv_zero_trick': 'none'}",2.187777777777778,9
(x**2 - 4)/(x - 2) + sin(x)**2 + cos(x)**2,qwen/qwen-2.5-72b-instruct,0.4444444444444444,0.5555555555555556,0.4444444444444444,0.5111,"['none', 'none', 'none', 'none', 'none', 'Extrinsic_Variable_Invention', 'General_Logic_Hallucination', 'Domain_Transformation_Hallucination', 'General_Logic_Hallucination']","['original', 'expanded', 'factored', 'simplified', 'reordered', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'none', 'expanded': 'none', 'factored': 'none', 'simplified': 'none', 'reordered': 'none', 'adv_variable_remap': 'Extrinsic_Variable_Invention', 'adv_log_exp_wrap': 'General_Logic_Hallucination', 'adv_identity_mul': 'Domain_Transformation_Hallucination', 'adv_zero_trick': 'General_Logic_Hallucination'}",2.06,9
(x**2 - 16)/(x - 4) + (x - 4),meta-llama/llama-3-8b-instruct,0.25,0.125,0.875,0.175,"['none', 'General_Logic_Hallucination', 'General_Logic_Hallucination', 'General_Logic_Hallucination', 'General_Logic_Hallucination', 'General_Logic_Hallucination', 'Extrinsic_Variable_Invention', 'General_Logic_Hallucination']","['original', 'expanded', 'factored', 'simplified', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'none', 'expanded': 'General_Logic_Hallucination', 'factored': 'General_Logic_Hallucination', 'simplified': 'General_Logic_Hallucination', 'adv_variable_remap': 'General_Logic_Hallucination', 'adv_log_exp_wrap': 'General_Logic_Hallucination', 'adv_identity_mul': 'Extrinsic_Variable_Invention', 'adv_zero_trick': 'General_Logic_Hallucination'}",2.2874999999999996,8
(x**2 - 16)/(x - 4) + (x - 4),google/gemma-2-9b-it,0.2857142857142857,0.2857142857142857,0.75,0.2786,"['none', 'General_Logic_Hallucination', 'General_Logic_Hallucination', 'General_Logic_Hallucination', 'General_Logic_Hallucination', 'General_Logic_Hallucination', 'Invalid_Syntax_Failure', 'none']","['original', 'expanded', 'factored', 'simplified', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'none', 'expanded': 'General_Logic_Hallucination', 'factored': 'General_Logic_Hallucination', 'simplified': 'General_Logic_Hallucination', 'adv_variable_remap': 'General_Logic_Hallucination', 'adv_log_exp_wrap': 'General_Logic_Hallucination', 'adv_identity_mul': 'Invalid_Syntax_Failure', 'adv_zero_trick': 'none'}",1.574285714285714,7
(x**2 - 16)/(x - 4) + (x - 4),deepseek/deepseek-chat,0.25,0.375,0.625,0.325,"['none', 'General_Logic_Hallucination', 'none', 'General_Logic_Hallucination', 'General_Logic_Hallucination', 'Extrinsic_Variable_Invention', 'Extrinsic_Variable_Invention', 'none']","['original', 'expanded', 'factored', 'simplified', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'none', 'expanded': 'General_Logic_Hallucination', 'factored': 'none', 'simplified': 'General_Logic_Hallucination', 'adv_variable_remap': 'General_Logic_Hallucination', 'adv_log_exp_wrap': 'Extrinsic_Variable_Invention', 'adv_identity_mul': 'Extrinsic_Variable_Invention', 'adv_zero_trick': 'none'}",2.1575,8
